,names,ratings,cost,dish,deliveryin_min,order
282,Basvangudi Donne Biryani,3.3,₹200 for one,"Biryani, South Indian",36 min,100+ orders placed from here recently
283,Darjeeling Hot Momos,4.0,₹150 for one,Momos,34 min,2450+ orders placed from here recently
284,Budapest Bake Inn,3.4,₹150 for one,"Desserts, Waffle, Beverages, Shake",37 min,650+ orders placed from here recently
285,Khichdi Kahani,3.3,₹150 for one,North Indian,46 min,825+ orders placed from here recently
286,Baking Bad - Pizza Delivery,4.0,₹150 for one,Pizza,42 min,50+ orders placed from here recently
287,Sri Dalma,4.0,₹200 for one,"Bengali, Odia, Desserts",42 min,50+ orders placed from here recently
288,Coorg Pork Joint,4.1,₹200 for one,"Mangalorean, North Indian, Chinese, Street Food, Beverages",48 min,675+ orders placed from here recently
289,Utsav Restaurant,3.7,₹200 for one,"North Indian, Chinese",31 min,575+ orders placed from here recently
290,Khaomomo,4.2,₹200 for one,"Momos, Chinese, Tibetan",63 min,2625+ orders placed from here recently
291,Chung Wah Express,4.0,₹250 for one,"Chinese, Thai, Sichuan",56 min,50+ orders placed from here recently
292,The Tea Brewery,4.3,₹250 for one,"Tea, Fast Food, Beverages",51 min,3600+ orders placed from here recently
293,Platform.65,3.6,₹250 for one,"North Indian, Mughlai, Chinese, South Indian, Biryani, Beverages, Desserts, Ice Cream",39 min,600+ orders placed from here recently
294,Dolma Aunty Momos,3.8,₹250 for one,"Momos, Fast Food, Street Food, Desserts",44 min,1125+ orders placed from here recently
295,Iceberg Organic Icecreams,4.0,₹250 for one,Ice Cream,44 min,1125+ orders placed from here recently
296,Lavonne,4.4,₹250 for one,"Cafe, Tea, Beverages, Bakery, Continental, Pasta, Salad, Fast Food",47 min,1850+ orders placed from here recently
297,Oonu Ready,3.6,₹250 for one,"South Indian, Biryani, Kerala",40 min,775+ orders placed from here recently
298,Tasty Fast Food & Kabab Zone,3.8,₹250 for one,"Kebab, North Indian, Chinese, Sichuan, BBQ, Biryani",35 min,575+ orders placed from here recently
299,Cafe Hideout,4.1,₹250 for one,"North Indian, Chinese, Continental, Biryani, BBQ, Coffee, Pizza, Pasta",46 min,1100+ orders placed from here recently
300,Magic Fill,4.2,₹250 for one,"North Indian, Chinese, Mughlai",24 min,150+ orders placed from here recently
301,Baisakhi,3.5,₹250 for one,"North Indian, Beverages, Desserts",34 min,525+ orders placed from here recently
302,Donne Biryani Mandi,3.9,₹250 for one,"South Indian, Biryani",33 min,875+ orders placed from here recently
303,Cake Bite,3.3,₹150 for one,"Bakery, Desserts, Fast Food",31 min,275+ orders placed from here recently
304,Cold Stone Creamery,4.0,₹150 for one,"Ice Cream, Desserts, Waffle, Beverages, Shake",63 min,150+ orders placed from here recently
305,Ambur Hot Dum Biryani,3.5,₹150 for one,"Biryani, Kebab",43 min,125+ orders placed from here recently
306,Al - Pizzalicious,3.6,₹150 for one,"Fast Food, Pizza, Burger, Sandwich",63 min,Follows all Max Safety measures to ensure your food is safe
307,Mayura 1989 Andhra Speciality Restaurant,4.0,₹300 for one,"Andhra, Mughlai, Chinese, Kebab, North Indian, Beverages, Desserts",60 min,725+ orders placed from here recently
308,Ambur Star Dum Biryani,3.7,₹300 for one,"Biryani, Kebab",18 min,75+ orders placed from here recently
309,Swaad Kutirra,3.3,₹300 for one,"South Indian, North Indian",45 min,250+ orders placed from here recently
310,Gowdru Mane Biriyani,3.7,₹300 for one,"North Indian, Chinese, Biryani",47 min,75+ orders placed from here recently
311,Gowdru Mane Biriyani,3.7,₹300 for one,"North Indian, Chinese, Biryani",47 min,75+ orders placed from here recently
312,Gowdru Mane Biriyani,3.7,₹300 for one,"North Indian, Chinese, Biryani",47 min,75+ orders placed from here recently
313,Gowdru Mane Biriyani,3.7,₹300 for one,"North Indian, Chinese, Biryani",47 min,75+ orders placed from here recently
314,Gowdru Mane Biriyani,3.7,₹300 for one,"North Indian, Chinese, Biryani",47 min,75+ orders placed from here recently
315,Gowdru Mane Biriyani,3.7,₹300 for one,"North Indian, Chinese, Biryani",47 min,75+ orders placed from here recently
